employer,n_rows,status,old_address,old_state,new_address,new_state,donor_states
STINSON,3,confirmed,"7700 Forsyth Blvd, Suite 1100",MO,,,TX:3
THE GART COMPANIES,3,corrected,"4500 Dorr St, Toledo, OH",OH,"240 St. Paul Street, Suite 200",CO,CO:3
T7 CAPITAL,3,corrected,"100 S King St, Suite 300, Seattle, WA",WA,"1040 6th Ave, Floor 15",NY,PA:3
THE GUTMAN GROUP,3,corrected,"9701 Wilshire Blvd, Suite 700, Beverly Hills, CA",CA,10 Venetian Way #703,FL,FL:3
THE JAFFE CORPORATION,3,corrected,"10 Aetna Avenue, Providence, RI",RI,300 North Nova Road,FL,FL:3
THE ROBERTS COMPANIES,3,corrected,"2300 E President George Bush Hwy, Ste 100, Richardson, TX",TX,2886 Colorado Ave,CA,CA:3
TRICERA CAPITAL,3,corrected,"555 California St Ste 4925, San Francisco, CA",CA,600 Brickell Avenue Suite 1623,FL,FL:3
SUN DIAMOND,3,confirmed,"1000 S Fremont Ave, Suite A",CA,,,NY:3
TRINET,3,corrected,"8800 Hixson Pike, Cincinnati, OH",OH,"One Park Place, Suite 600",CA,NY:2; MA:1
TRV,3,confirmed,"One Liberty Plaza, 165 Broadway",NY,,,FL:3
U.S. DEPARTMENT OF AGRICULTURE,3,confirmed,1400 Independence Ave SW,DC,,,IL:3
UNIVERSITY OF CHARLESTON,3,confirmed,2300 MacCorkle Ave SE,WV,,,SC:3
US ENVIRONMENTAL PROTECTION AGENCY,3,confirmed,1200 Pennsylvania Avenue NW,DC,,,MD:3
USG,3,confirmed,550 West Adams Street,IL,,,DC:2; GA:1
ZETA GLOBAL,3,confirmed,"7 W 34th St, 4th Floor",NY,,,CT:3
US HEALTH PARTNERS,3,corrected,"US Health Partners, Inc., St. Paul, MN",MN,"2000 Tower Oaks Blvd, Suite 480",MD,DE:2; MD:1
YARGER WEALTH STRATEGIES,3,corrected,"2361 North Side Drive, Suite 300, San Diego, CA",CA,140 Dorchester Square Ste B,OH,OH:3
ZIMMER MEDICAL GROUP,3,corrected,"1 Parkway North, Suite 300, Deerfield, IL",IL,509 Jackson St N,FL,FL:3
BLB&G LLP,3,confirmed,222 Jarvis St,NY,,,NJ:3
"BEVERAGE DISTRIBUTORS COMPANY, LLC",3,corrected,"2601 W CYPRESS CREEK RD, FORT LAUDERDALE, FL",FL,14200 E Moncrieff Place,CO,CO:3
"BOREN, OSHER & LUFTMAN, LLP",3,corrected,"1200 17th Street NW, Suite 600, Washington, DC",DC,"222 N Pacific Coast Hwy, Suite 2222",CA,CA:3
"BARGAIN CAR, TRUCK & VAN RENTALS, INC",3,corrected,"2313 NW 82nd Ave, Miami, FL",FL,18 S Sproul Rd,PA,PA:3
"BUSINESS MACHINES CONSULTANTS, INC",3,corrected,"11601 Miracle Hills Dr, Omaha, NE",NE,6735 Odessa Avenue,CA,CA:3
CAMP ROSMARIN INC,3,corrected,"PO Box 358, Friendship, ME",ME,12 School Rd,NY,NY:3
VAST,3,corrected,"1900 L Street NW, Suite 800, Washington, DC",DC,240 W 37th Street,NY,NJ:3
DEMOCRACY ENGINE LLC,3,corrected,"1209 3rd Avenue South, Nashville, TN",TN,2125 14th St NW #101W,DC,DC:3
FELD ENTERTAINMENT INC,3,confirmed,P.O. Box 1000 (Feld Entertainment HQ / administrative offices),FL,,,NY:3
FELDESMAN LEIFER LLP,3,confirmed,"1129 20th Street NW, Suite 900",DC,,,MD:3
"ERL FOOD SERVICES, INC",3,corrected,"2400 North 44th Street, Phoenix, AZ",AZ,2839 Smith Avenue,MD,MD:3
DENALI BRANDS INC,3,corrected,"55 W 39th St, Suite 1105, New York, NY",NY,4 Andover Country Club Lane,MA,MA:3
"FLOWERS PROPERTIES, LLC",3,corrected,"1100 Abernathy Rd NE Suite 150, Atlanta, GA",GA,864 Goodman Rd E,MS,MS:3
FUNDAMENTAL ADVISORS LP,3,corrected,"160 West Santa Clara Street, Suite 975, San Jose, CA",CA,"745 Fifth Avenue, 25th Floor",NY,NY:3
HAITH & CO,3,corrected,"20 W 20th St, New York, NY",NY,11415 W 87th Terrace,KS,KS:3
"DPIS ENGINEERING, LLC",3,corrected,"1717 Arch Street, Philadelphia, PA",PA,"19450 State Hwy 249, Ste 300",TX,TX:3
CARDINAL EQUITIES LLC,3,corrected,"1501 M St NW, Washington, DC",DC,"8665 Wilshire Blvd, Suite 410",CA,CA:3
"GROUP 1001 RESOURCES, LLC",3,corrected,"225 Liberty Street, 10th Floor, New York, NY",NY,10555 Group 1001 Way,IN,IL:3
INVEMED ASSOCIATES LLC,3,corrected,"2211 N Elston Ave, Chicago, IL",IL,"375 Park Avenue, Suite 2205",NY,NY:3
HEIDEMAN NUDELMAN & KALIK PC,3,confirmed,"1140 19th St NW, Suite 500",DC,,,MD:3
"INNOVATIONS IN EDUCATION, LLC",3,corrected,"1000 N West St, Wilmington, DE",DE,10400 Hardwood Ct,MD,MD:3
LEVY AFFILIATED HOLDINGS LLC,3,corrected,"6250 N River Rd, Suite 600, Rosemont, IL",IL,"201 Wilshire Boulevard, Second Floor",CA,CA:3
KWALU LLC,3,corrected,"1819 Eastchester Drive, High Point, NC",NC,6160 Peachtree Dunwoody Rd Building C,GA,GA:3
MARS SCIENCE & DIAGNOSTICS,3,corrected,"800 North Lindbergh Blvd., St. Louis, MO",MO,6885 Elm Street,VA,CA:3
MERCURY PUBLIC AFFAIRS LLC,3,corrected,"1201 Connecticut Ave NW, Suite 500, Washington, DC",DC,"200 Varick Street, Suite 600",NY,NY:3
OKUN ORTHODONTICS PC,3,corrected,"150 RIVER ROAD, TENAFLY, NJ",NJ,"14 Rye Ridge Plaza, Suite 243",NY,NY:3
LET THERE BE WATER LLC,3,corrected,"103 Lovell Pl, Enfield, CT",CT,"300 Central Park West, Apt 7A",NY,NY:3
"PESSAH LAW GROUP, PC",3,corrected,"600 Town Center Drive, Suite 1200, Dearborn, MI",MI,"9100 Wilshire Blvd, Ste 850E",CA,CA:3
NACHT & ROUMEL PC,3,corrected,"333 West Wacker Drive, Chicago, IL",IL,"501 Avis Dr, Suite 3",MI,MI:3
ORLO MANAGEMENT LLC,3,corrected,"100 Broadway, 10th Floor, New York, NY",NY,711 Gorman Ave,MD,MD:3
REMICA PROPERTY GROUP CORP,3,corrected,"1500 Walnut Street, Suite 600, Philadelphia, PA",PA,229 East 85th St #1010,NY,NY:3
SEIDBERG LAW OFFICES PC,3,corrected,"100 MIDLANTIC DRIVE, SUITE 300, MOUNT LAUREL, NJ",NJ,2412 E Campbell Ave,AZ,AZ:3
RFE MANAGEMENT CORP,3,corrected,"175 Park Ave, Florham Park, NJ",NJ,10 Wright Street,CT,CT:3
"PROLIFIC ELECTRONICS, LLC",3,corrected,"1317 Wabash Ave, Huntsville, AL",AL,2297 Worthing Lane,CA,CA:3
SHAPERO & SHAPERO,3,corrected,"80 Broad St, 28th Fl, New York, NY",NY,"5950 Canoga Ave, Suite 235",CA,CA:3
RUBIN & ROTHMAN,3,corrected,"111 W Jackson Blvd, Suite 1700, Chicago, IL",IL,1787 Veterans Memorial Highway,NY,NY:3
"SOLINSKY EYECARE, LLC",3,corrected,"1195 N State Rd 7, Margate, FL",FL,433 South Main St,CT,CT:3
SUMMIT DESIGN BUILD,3,corrected,"57 North Main Street, Milford, CT",CT,"1036 W Fulton Market, Suite 500",IL,IL:3
"TECTA AMERICA ZERO CO., LLC",3,corrected,"126 West 22nd Street, New York, NY",NY,6225 Wiehe Rd,OH,OH:3
WEST AND FEINBERG PC,3,corrected,"1880 Century Park E, Suite 925, Los Angeles, CA",CA,"4550 Montgomery Ave, Suite 775N",MD,MD:3
TOLPIN AND PARTNERS PC,3,corrected,"150 E 58th St, New York, NY",NY,"30 N LaSalle St, Suite 2250",IL,IL:3
"THE CHAZIN GROUP, INC",3,corrected,"275 Madison Ave Suite 801, New York, NY",NY,3100 West Lake Street Suite 230,MN,MN:3
WACHTEL MISSRY LLP,3,confirmed,885 Third Avenue,NY,,,NJ:3
WHITE LAKE REAL ESTATE CAPITAL LLC,3,unknown,"1840 Century Park East, Suite 1200",CA,,,CT:3
EVERSHEDS-SUTHELRAND,3,confirmed,"999 Peachtree Street NE, Suite 2300",GA,,,NY:3
SHUMAKER LOOP & KENDRICK,3,corrected,"101 E Kennedy Blvd, Suite 2800, Tampa, FL",FL,1000 Jackson Street,OH,OH:3
VERSA CAPITAL GROUP,3,corrected,"5601 River Rd, Suite 300, Bethesda, MD",MD,"One Logan Square, 130 N. 18th Street, Suite 315",PA,PA:3
KEY MOTORS,3,confirmed,549 US Hwy 1 Byp,NH,,,CA:3
U.S. CABINET DEPOT,3,corrected,"701 N Thompson St, Palatine, IL",IL,2050 Roswell Rd,GA,TX:3
"A&B STORE FIXTURES, INC",3,corrected,"1015 S ELMIRA ST, APPLETON, WI",WI,6202 Swing Court,NC,NC:3
"ARONOV REALTY MANAGEMENT, INC",3,corrected,"31-00 Route 110, Syosset, NY",NY,3500 Eastern Blvd,AL,GA:2; AL:1
GLOBALIZATION PARTNERS,3,corrected,"300 Frank W. Burr Blvd, Suite 600, Teaneck, NJ",NJ,"175 Federal St, 17th Floor",MA,MA:3
"BEST CARE NURSES REGISTRY, INC",3,corrected,"1500 Hempstead Turnpike, East Meadow, NY",NY,208 South 28th Avenue,FL,FL:3
BDO USA P.C,3,confirmed,"330 North Wabash Avenue, Suite 3200",IL,,,GA:2; OH:1
"CORPORATE GOVERNANCE PARTNERS, INC",3,corrected,"1111 Broadway, 12th Floor, Oakland, CA",CA,"303 E Wacker Drive, Suite 1100",IL,IL:3
"DYNAMIC CAPITAL MANAGEMENT, INC",3,corrected,"1201 N Market St #1400, Wilmington, DE",DE,"1007 W 3rd Ave, Suite 203",AK,AK:3
"KITU SYSTEMS, INC",3,corrected,"1440 Broadway, Suite 6040, New York, NY",NY,"12636 High Bluff Drive, Suite 400",CA,CA:3
"HY-VEE, INC",3,confirmed,5820 Westown Pkwy,IA,,,MN:3
"LAW OFFICES OF FRANK B. CAHN, P.A",3,corrected,"One Biscayne Tower, 2 South Biscayne Boulevard, Miami, FL",FL,4153 Patterson Avenue,MD,MD:3
"EQUIPMENTSHARE, INC",3,corrected,"2201 E Plano Pkwy Suite 100, Plano, TX",TX,5710 Bull Run Drive,MO,CA:3
"LEARNING RESOURCES, INC",3,corrected,"1103 Regal Row, Minneapolis, MN",MN,380 N Fairway Dr,IL,IL:3
LIPSON NEILSON P.C,3,corrected,"420 Lexington Avenue, Suite 2750, New York, NY",NY,"3910 Telegraph Road, Suite 200",MI,MI:3
"RICHARDS MANUFACTURING CO SALES, INC",3,corrected,"431 S Buchanan St, Muncie, IN",IN,517 Lyons Avenue,NJ,NJ:3
"TRIPLE-S STEEL HOLDINGS, INC",3,corrected,"1600 W 6th St, Romeoville, IL",IL,6000 Jensen Dr,TX,TX:3
SOSLAND PUBLISHING CO,3,corrected,"12920 W 87th St Pkwy, Lenexa, KS",KS,"2345 Grand Blvd, Suite 1950",MO,MO:3
SHOPPING CENTER MANAGEMENT CO,3,corrected,"1000 Town Center Drive, Suite 200, Southfield, MI",MI,"1829 Reisterstown Rd, Suite 440",MD,MD:3
MOUNT SINAI MEDICAL CENTER,3,corrected,"One Gustave L. Levy Place, New York, NY",NY,4300 Alton Rd,FL,FL:3
ABC DOORS,2,corrected,"7233 Carroll Avenue, Takoma Park, MD",MD,5100 S Willow Dr,TX,TX:2
ACHIEVE BEHAVIORAL HEALTH,2,corrected,"1500 Puritan Rd N, Suite 200, Minneapolis, MN",MN,"25 Robert Pitt Drive, Suite 101",NY,NJ:2
ACE GLOBAL,2,corrected,"1450 Broadway, 22nd Floor, New York, NY",NY,20231 NE 15th Ct,FL,FL:2
1440 FOODS,2,corrected,"220 9th Street, Oakland, CA",CA,"450 7th Avenue, 10th Floor",NY,NY:2
ACXION FOODSERVICE,2,corrected,"1000 S Pine Island Rd, Suite 200, Plantation, FL",FL,1701 Crossroads Drive,MD,IL:2
ACTUM,2,corrected,"1200 17th St NW, Suite 600, Washington, DC",DC,"767 S Alameda St, Suite 490",CA,CA:2
AIRESPRING,2,corrected,"2100 Geng Road, Suite 200, Palo Alto, CA",CA,"600 Cleveland Street, Suite 226",FL,FL:2
AGI FINANCIAL,2,corrected,"25320 Battle Lk, San Antonio, TX",TX,930 Carmel Ct,CA,CA:2
ALIYA CAPITAL PARTNERS,2,corrected,"4 Embarcadero Center, Suite 1400, San Francisco, CA",CA,"1450 Brickell Ave, Suite 2600",FL,FL:2
ALLIANT INSURANCE SERVICES,2,confirmed,701 B St Suite 400,CA,,,IL:1; MD:1
ALERICA,2,corrected,"2600 S Poplar Ave #200, Fresno, CA",CA,"3323 NE 163rd Street, Suite PH-704",FL,FL:2
ALUMNI VENTURES,2,corrected,"1211 East Cary Street, Suite 300, Richmond, VA",VA,"670 N. Commercial St, Suite 403",NH,NY:2
AMERICAN HOSPITAL ASSOCIATION,2,confirmed,"155 N. Wacker Drive, Suite 400",IL,,,MD:2
ALTER TRADING,2,corrected,"300 North Meridian Street, Suite 300, Indianapolis, IN",IN,700 Office Parkway,MO,AR:2
AETION,2,corrected,"125 CambridgePark Drive, Suite 300, Cambridge, MA",MA,"5 Penn Plaza, 7th Floor",NY,NY:2
ARCADIA IBI GROUP,2,corrected,"1201 West Peachtree St NW, Suite 400, Atlanta, GA",GA,421 Fayetteville Street,NC,CA:2
ARDMORE TOYOTA,2,corrected,"1815 Commerce Dr, Ardmore, OK",OK,219 E. Lancaster Ave,PA,PA:2
APPOLLO,2,confirmed,9 West 57th Street,NY,,,FL:2
ARMY,2,confirmed,1400 Army Pentagon,DC,,,CA:2
ARWAY CONFECTIONS,2,corrected,"35 W 36th St, 11th Floor, New York, NY",NY,3425 N. Kimball Ave,IL,IL:2
ATLAS STRATEGY GROUP,2,corrected,"1200 G St NW Ste 800, Washington, DC",DC,15 Ladue Lane,MO,MO:2
AT HOME,2,confirmed,"3750 Quorum Drive, Suite 700",TX,,,AR:2
AVENUE SIX STUDIOS,2,corrected,"34 W 35th St, Floor 8, New York, NY",NY,7900 Haskell Ave,CA,CA:2
BARON PROPERTY GROUP,2,corrected,"777 S Alameda St, Los Angeles, CA",CA,"152 West 57th Street, 37th Floor",NY,NY:2
AWS,2,confirmed,410 Terry Ave N,WA,,,IN:1; NY:1
AUDACIOUS,2,unknown,1500 Broadway 12th Floor,NY,,,IL:2
AVIV GROWTH PARTNERS,2,unknown,1209 Orange St,DE,,,MA:2
BAYVIEW,2,corrected,"3701 Solomons Island Rd S, Edgewater, MD",MD,4425 Ponce de Leon Boulevard,FL,NY:1; FL:1
BEELINE MOBILITY,2,corrected,"50 California St, Suite 1500, San Francisco, CA",CA,8110 7th Ave S,WA,PA:2
BELVOIR PROPERTIES,2,corrected,"3050 K St NW, Suite 300, Washington, DC",DC,"17 Virginia Ave, Ste 100",RI,RI:2
BERRY GLOBAL,2,confirmed,10100 Kincey Avenue,IN,,,NY:2
BLOOM ADVISORS,2,corrected,"300 Baker Avenue, Suite 302, Concord, MA",MA,"31275 Northwestern Highway, Suite 145",MI,MI:2
BLEAKLEY FINANCIAL GROUP,2,confirmed,"9 Campus Drive, Suite 201",NJ,,,CT:2
BERMAN FINANCIAL SERVICES,2,corrected,"3300 Douglas Boulevard, Roseville, CA",CA,1872 Greentree Rd #1,NJ,NJ:2
BOSPAR,2,confirmed,"260 California St, Suite 450",CA,,,NY:2
CANTOR INJURY LAW,2,corrected,"10866 Wilshire Blvd, Suite 1000, Los Angeles, CA",CA,12283 Olive Boulevard,MO,MO:2
BERMAN SKIN INSTITUTE,2,corrected,"1425 N 10th St, Suite 120, North Las Vegas, NV",NV,"900 Welch Rd, Suite 300",CA,CA:2
CARD COMPLIANT,2,corrected,"1400 16th St NW, Washington, DC",DC,"11610 Ash Street, Suite 200",KS,KS:2
CAPALINO,2,confirmed,"100 Church Street, 8th Floor",NY,,,WA:2
CATALIS,2,corrected,"1 Kendall Square, Building 300, Suite 300, Cambridge, MA",MA,"3025 Windward Plaza, Ste 200",GA,FL:2
CAPITAL DIGESTIVE CARE,2,corrected,"2000 15th Street NW, Suite 300, Washington, DC",DC,"12510 Prosperity Drive, Suite 200",MD,MD:2
BOYLSTON DEVELOPMENT CORPORATION,2,unknown,"100 Federal Street, 28th Floor",MA,,,AZ:2
CDS MECHANICAL SERVICES,2,corrected,"6401 W 121st St, Palos Heights, IL",IL,909 William Meade Ct,MD,MD:2
CATALYST,2,corrected,"101 Federal Street, Boston, MA",MA,8277 Belleview Drive,TX,TX:2
CBG REAL ESTATE,2,corrected,"111 Monument Circle, Suite 500, Indianapolis, IN",IN,4629 Macro Dr,TX,TX:2
CEDAR REALTY,2,corrected,"2000 PNC Center, 1900 East 9th St, Cleveland, OH",OH,2529 Virginia Beach Blvd.,VA,NY:2
CENTRAL ALLERGY,2,corrected,"10100 West 190th Street, Mokena, IL",IL,"1034 S Brentwood Blvd, Suite 460",MO,MO:2
CESJDS,2,corrected,"4500 Arlington Boulevard, Fairfax, VA",VA,1901 East Jefferson Street,MD,MD:2
CEDAR ASSET MANAGEMENT,2,unknown,280 Park Ave,NY,,,NJ:2
CHILDRENS MEDICAL CENTER,2,confirmed,1935 Medical District Drive,TX,,,FL:2
CHILDREN'S LAW CENTER,2,confirmed,"616 H Street NE, Suite LL06",DC,,,CA:2
CCG / ALTERITY CAPITAL,2,unknown,"60 East 42nd Street, 6th Floor",NY,,,IL:2
CJDS,2,corrected,"10 W 65th St, New York, NY",NY,"5007 Providence Road, Building E",NC,NC:2
CITRINFINANCIAL,2,corrected,"101 Duffy Avenue, South San Francisco, CA",CA,3005 NE Quayside Lane,FL,FL:2
CHASE,2,confirmed,383 Madison Avenue,NY,,,OH:1; NJ:1
COLD CHAIN TECHNOLOGIES,2,corrected,"666 E. Milwaukee Street, Milwaukee, WI",WI,135 Constitution Boulevard,MA,MA:2
CLEERLY,2,corrected,"3000 El Camino Real, Suite 200, Palo Alto, CA",CA,"1099 18th Street, Suite 2860",CO,TX:2
CONGREGATION EMANU-EL,2,corrected,"1 E 65th St, New York, NY",NY,2 Lake Street,CA,CA:2
COREVEST,2,corrected,"750 Park of Commerce Blvd, Suite 104, Boca Raton, FL",FL,"4 Park Plaza, Suite 900",CA,MI:2
COVE HILL PARTNERS,2,corrected,"95 Fourth Street, Burlingame, CA",CA,888 Boylston Street Suite 1410,MA,MA:2
CMI,2,unknown,2121 North Collins Boulevard,TX,,,NY:2
COLUMBUS CONSULTING GROUP,2,corrected,"10 West Broad Street, Suite 1200, Columbus, OH",OH,"16 Madison Square West, Suite 1211",NY,CA:2
CREATIVE PLANNING,2,corrected,"8515 East Orchard Road, Greenwood Village, CO",CO,5454 W 110th St,KS,KS:1; FL:1
DAVIDON HOMES,2,corrected,"9150 S 150 E, Suite 210, Sandy, UT",UT,"1600 South Main Street, Suite 150",CA,CA:2
CYPRESS EQUITY INVESTMENTS,2,corrected,"1330 Ave of the Americas, 21st Floor, New York, NY",NY,"12121 Wilshire Blvd, Suite 801",CA,CA:2
COLUMBIA COMPANIES,2,unknown,"600 4th Street NE, Suite 300",IA,,,TX:2
CVS HEALTH,2,confirmed,One CVS Drive,RI,,,NY:1; VA:1
DERMCARE,2,corrected,"3030 LBJ Freeway, Suite 700, Dallas, TX",TX,"4000 Hollywood Boulevard, Suite 215-S",FL,FL:2
DEEL,2,confirmed,"300 Brannan Street, Suite 202",CA,,,FL:1; WA:1
DAVIS WRIGHT TREMAINE,2,confirmed,"920 Fifth Avenue, Suite 3300",WA,,,NY:2
DORIS BOUDAIE OPTOMETRY,2,corrected,"2100 Westlake Ave N, Suite 307, Seattle, WA",WA,8500 Beverly Blvd,CA,CA:2
DW ADVERTISING,2,corrected,"315 South Kalamazoo Mall, Suite 120, Kalamazoo, MI",MI,682 Bloomfield Ave,CT,CA:2
DOUGLAS M. LIEBMAN ESTATE JEWELER,2,corrected,"24 E 81st St, New York, NY",NY,15255 N 40th St Ste 151,AZ,AZ:2
DESIGN CONCEPTS,2,corrected,"1216 N State St, Jackson, MS",MS,273 Closter Dock Rd Ste 1,NJ,NJ:2
DIAMOND REALTY HOLDINGS,2,confirmed,805 N Milwaukee Ave Ste 301,IL,,,FL:2
DWT,2,corrected,"1900 K Street NW, Suite 800, Washington, DC",DC,"920 Fifth Avenue, Suite 3300",WA,CA:2
EAST COAST MEDICAL ASSOCIATES,2,corrected,"25 Technology Place, Suite 101, Woonsocket, RI",RI,1500 NW 10th Ave Suite 205,FL,FL:2
EDUCATION LEADERS OF COLOR,2,corrected,"34 5th Avenue, Suite 3A, New York, NY",NY,3680 Wilshire Blvd Ste P04-1052,CA,CA:2
ECA FUND ADVISORS,2,unknown,"3030 LBJ Freeway, Suite 1250",TX,,,CA:2
EDEN STREET PARTNERS,2,corrected,"75 State Street, Suite 100, Boston, MA",MA,228 Park Ave S #754590,NY,NY:2
ELDRIDGE,2,confirmed,1345 Avenue of the Americas,NY,,,TX:2
ECO MARKETING,2,corrected,"1000 Abernathy Road NE, Suite 500, Atlanta, GA",GA,41 Nace Ave,CA,CA:2
ELION PARTNERS,2,corrected,"300 Montgomery Street, San Francisco, CA",CA,"3323 NE 163rd Street, Suite 600",FL,FL:2
ENFIELD CAPITAL PARTNERS,2,corrected,"1111 Brickell Avenue, Miami, FL",FL,3701 W Lunt Ave,IL,IL:2
ENGINE,2,confirmed,"1100 15th St NW, Suite 900",DC,,,PA:2
EMPIRE BRANDS,2,unknown,"1000 S. Wadsworth Blvd., Suite 400",CO,,,NJ:2
EP WEALTH ADVISORS,2,confirmed,"111 Sutter St, Suite 500",CA,,,WI:2
EVERCORE,2,confirmed,"55 East 52nd Street, 35th Floor",NY,,,MA:1; CT:1
EPCF,2,corrected,"180 Maiden Ln, Suite 603, New York, NY",NY,"333 North Oregon St., 2nd Floor",TX,FL:2
ELNET-US,2,corrected,"1101 14th Street NW, Suite 700, Washington, DC",DC,"5215 Old Orchard Road, Suite 880",IL,FL:2
EPIC MECHANICAL,2,corrected,"8750 Commerce Park Dr, Suite 100, Cincinnati, OH",OH,76 Mall Drive,NY,NY:2
EVG CAPITAL,2,unknown,"40 Broad Street, 9th Floor",NY,,,MI:2
FASHION INSTITUTE OF TECHNOLOGY,2,confirmed,Seventh Avenue at 27th Street,NY,,,NJ:2
EYESOUTH,2,corrected,"2201 Green Street, Jackson, MS",MS,"5775 Glenridge Drive, Building B, Suite 500",GA,FL:2
FERRING,2,confirmed,500 College Road East,NJ,,,FL:2
FASB,2,confirmed,401 Merritt 7,CT,,,CO:2
FINCH BRANDS,2,corrected,"2100 S Bascom Ave, Suite 135, Campbell, CA",CA,"123 S. Broad Street, Suite 2150",PA,PA:2
FEVO,2,corrected,"500 4th Street NE, Suite 500, Minneapolis, MN",MN,12 Little West 12th St,NY,NY:2
FISCHER ROOFING,2,corrected,"1660 Schofield Ave, Waukesha, WI",WI,276 S Hope Chapel Rd,NJ,NJ:2
FRANKLIN STREET REAL ESTATE,2,corrected,"3017 OAK AVE, SUITE 300, DALLAS, TX",TX,"1311 North Westshore Boulevard, Suite 200",FL,FL:2
FRIENDS OF THE ISRAEL DEFENSE FORCE,2,confirmed,1430 Broadway,NY,,,TX:2
FLAGSTONE FOODS,2,corrected,"1401 Dove St Suite 200, Newport Beach, CA",CA,"323 N Washington Avenue, Suite 400",MN,NC:2
FRY-WAGNER,2,confirmed,"1211 W Port Plaza Dr, Suite 200",MO,,,KS:2
FRAZIER HEALTHCARE,2,corrected,"3475 RIVER DRIVE, SUITE 200, HUNT VALLEY, MD",MD,"601 Union Street, Suite 3200",WA,WA:2
GLOBAL PHOTONICS,2,corrected,"11400 West Bernardo Court, Suite 200, San Diego, CA",CA,7826 Photonics Dr,FL,FL:1; NY:1
GOLUB CAPITAL,2,corrected,"One Financial Center, 3rd Floor, Boston, MA",MA,"200 Park Avenue, 25th Floor",NY,NY:2
GLEASON CORPORATION,2,confirmed,100 Pleasant Street,NY,,,CA:2
GRANDSTONE INVESTMENT SALES,2,corrected,"350 5th Avenue, Suite 7100, New York, NY",NY,1385 Brookwood Place,OH,OH:2
GEARSUPPLY DIRECT,2,corrected,"1901 E 4th St, Santa Ana, CA",CA,"302 W 3rd St, Suite 200",OH,OH:2
"GROSINGER, SPIGELMAN AND GREY",2,corrected,"800 Third Avenue, New York, NY",NY,"1750 S Telegraph Rd, Ste 205",MI,MI:2
GRID DYNAMICS,2,corrected,"100 Matsonford Rd, Suite 300, Radnor, PA",PA,"6101 Bollinger Canyon Road, Suite 465",CA,CA:2
GREENBERG APARTMENT COMMUNITIES,2,unknown,"10490 Park Meadows Drive, Suite 400",CO,,,OH:2
GSK,2,corrected,"3000 Hanover Street, Wilmington, DE",DE,"2929 Walnut Street, Ste. 1700",PA,MA:2
GREGORY FUNDING,2,corrected,"2200 East Camelback Road, Suite 200, Phoenix, AZ",AZ,"13190 SW 68th Pkwy, Suite 200",OR,OR:2
GTREASURY,2,corrected,"1101 Pennsylvania Avenue NW, Suite 700, Washington, DC",DC,"2100 E. Lake Cook Rd., Suite 1100",IL,IL:2
HABIF PROPERTIES,2,corrected,"5300 S Quebec St, Greenwood Village, CO",CO,"3717 Roswell Rd NE, Suite 100",GA,GA:2
HARTREE PARTNERS,2,confirmed,"1 State St, 33rd Floor",NY,,,FL:2
HAVENLY VENTURES,2,corrected,"1010 N 7th St, Suite 200, St. Louis, MO",MO,"99 University Place, Suite 204",NY,NY:2
HDT GLOBAL,2,corrected,"2 Enterprise Drive, Suite 100, Shelton, CT",CT,"30500 Aurora Road, Suite 100",OH,UT:2
GUILD PARTNERS,2,corrected,"200 Clarendon Street, 43rd Floor, Boston, MA",MA,4832 North 26th Road,VA,VA:2
HEALTHPEAK,2,corrected,"3101 Michelson Drive, Suite 1000, Irvine, CA",CA,"4600 South Syracuse Street, Suite 500",CO,CO:2
HILLEL,2,corrected,"1 West 4th Street, Suite 200, New York, NY",NY,800 Eighth Street NW,DC,OH:1; DC:1
HILLEL INTERNATIONAL,2,corrected,"1100 East 55th St, Suite 12A, Chicago, IL",IL,800 Eighth Street NW,DC,DC:2
HPE,2,corrected,"6280 America Center Drive, Santa Clara, CA",CA,1701 E Mossy Oaks Road,TX,IN:2
HUEY AND WEPRIN OBGYN,2,corrected,"240 West 57th Street, Suite 601, New York, NY",NY,20 West Wenger Road Suite 2,OH,OH:2
HILLSON GLOBAL STRATEGIES,2,unknown,1209 Orange Street,DE,,,SC:2
HMH,2,confirmed,222 Berkeley Street,MA,,,NJ:2
IBG HOLDINGS,2,corrected,"600 Technology Square, Cambridge, MA",MA,One Pickwick Plaza,CT,NY:2
ICG ADVISORS,2,corrected,"450 Lexington Avenue, New York, NY",NY,"11111 Santa Monica Boulevard, Suite 2100",CA,WA:1; CA:1
HON,2,confirmed,200 Oak Street,IA,,,TX:2
INCEPTIV,2,corrected,"80 Broad St, 3rd Floor, New York, NY",NY,"3975 Landmark St, Suite 1400",CA,CO:2
ICIC,2,corrected,"2 West 45th Street, New York, NY",NY,"727 Atlantic Avenue, Suite 600",MA,MA:2
IGN,2,corrected,"1500 Broadway, New York, NY",NY,2231 S Barrington Ave,CA,NJ:2
INNER CIRCLE SPORTS,2,corrected,"200 Clarendon St, Boston, MA",MA,"441 Lexington Avenue, 17th Floor",NY,NY:2
IMAGINE CAPITAL,2,corrected,"150 N Riverside Plaza, Suite 2200, Chicago, IL",IL,"One California Street, 28th Floor",CA,CA:2
INTERVISION,2,corrected,"1730 Rhode Island Ave NW, Washington, DC",DC,"3050 Peachtree Rd, Suite 450",GA,GA:2
INFINITE GAMES,2,corrected,"2300 Geng Rd, Palo Alto, CA",CA,1380 S Ambassador Way,UT,CO:2
INOVA,2,confirmed,8110 Gatehouse Road,VA,,,MD:2
